time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,heading_error_rad,command_linear_mps,command_angular_rps,scored_line_sample
92.57,2,1,3,0.4074364692844463,4.583951460164828,-1.5707171791886474,0.4080620471176745,4.596518347679555,-1.5710751193918202,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005061053335896903,-0.00022044062618586935,0.2,-0.0004408812523717232,1
92.58,2,1,3,0.4074367235957679,4.581876590155926,-1.5706545984707871,0.40807283815655937,4.5925182427653155,-1.5741376100816153,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005063596449112473,0.0028244041794902586,0.2,0.005648808358980486,1
92.59,2,1,3,0.4074356722349659,4.579801446443357,-1.570631814142468,0.40807283815655937,4.5925182427653155,-1.5741376100816153,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005053082841092738,0.0028244041794902586,0.2,0.005648808358980486,1
92.6,2,1,3,0.40743568810691566,4.577726912128431,-1.5706356438282116,0.4080764757515333,4.588518140135569,-1.5710161509099134,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005053241560590283,-0.00030756925798947066,0.2,-0.0006151385159789826,1
92.61,2,1,3,0.40743732205981975,4.57565219159075,-1.5706008006209162,0.4080764757515333,4.588518140135569,-1.5710161509099134,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005069581089631181,-0.00030756925798947066,0.2,-0.0006151385159789826,1
92.62,2,1,3,0.4074379943804014,4.57357737538779,-1.5705384590911973,0.4080880031076976,4.584518067403934,-1.5709998970116663,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005076304295447698,-0.00034229634734184167,0.2,-0.0006151385159789826,1
92.63,2,1,3,0.4074371335240139,4.571502220164576,-1.5705162066497953,0.4080880031076976,4.584518067403934,-1.5709998970116663,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005067695731572619,-0.00034229634734184167,0.2,-0.0006845926946836627,1
92.64,2,1,3,0.4074373453207647,4.569427684817821,-1.5705219296096158,0.4089852155850349,4.576580933636721,-1.5713488350753242,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005069813699080661,-0.00034229634734184167,0.2,-0.0006845926946836627,1
92.65,2,1,3,0.4074378122664557,4.567353170743057,-1.5705294181833391,0.4089852155850349,4.576580933636721,-1.5713488350753242,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005074483155990683,-0.0009028998708267011,0.2,-0.0018057997416534642,1
92.66,2,1,3,0.40743829942428245,4.565278656795807,-1.570537229030015,0.4090157111310189,4.572580792057169,-1.5710372920559572,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005079354734258135,-0.0012574505192584073,0.2,-0.0025149010385167683,1
92.67,2,1,3,0.4074385032414265,4.563204143554148,-1.5705540483676226,0.4090157111310189,4.572580792057169,-1.5710372920559572,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005081392905698645,-0.0012574505192584073,0.2,-0.0025149010385167683,1
92.68,2,1,3,0.4074389015200426,4.561129629770857,-1.5705747097080978,0.40904349369381543,4.568580704828075,-1.5719435546389255,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005085375691859517,-0.0003916492775446479,0.2,-0.0007832985550892441,1
92.69,2,1,3,0.4074391279796541,4.559055116611422,-1.5706012297789258,0.40904349369381543,4.568580704828075,-1.5719435546389255,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005087640287974593,-0.0003916492775446479,0.2,-0.0007832985550892441,1
92.7,2,1,3,0.4074394525390286,4.556980592859644,-1.5706301374804048,0.4090680988319649,4.564580608596238,-1.5714400068670353,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005090885881719465,-0.0009326285968711545,0.2,-0.0018652571937422626,1
92.71,2,1,3,0.4074401715397553,4.554905966714071,-1.5706449032953516,0.4090680988319649,4.564580608596238,-1.5714400068670353,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005098075888986808,-0.0009326285968711545,0.2,-0.0018652571937422626,1
92.72,2,1,3,0.4074405076098546,4.552831451165337,-1.5706541709621638,0.40792429698351373,4.561005273565931,-1.568913744786926,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005101436589979857,-0.0023210524267249784,0.2,-0.0046421048534500044,1
92.73,2,1,3,0.4074405082700734,4.550756938026152,-1.5706718859951858,0.40792429698351373,4.561005273565931,-1.568913744786926,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005101443192167543,-0.0023210524267249784,0.2,-0.0046421048534500044,1
92.74,2,1,3,0.40744068968252134,4.5486824243247925,-1.5706932923061505,0.4079293769795194,4.557005199810716,-1.5711865749177227,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.000510325731664707,-5.929637010582134e-05,0.2,-0.00011859274021167882,1
92.75,2,1,3,0.40744022054326856,4.546607862436396,-1.570735586421796,0.4079293769795194,4.557005199810716,-1.5711865749177227,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.000509856592411928,-5.929637010582134e-05,0.2,-0.00011859274021167882,1
92.76,2,1,3,0.4074402197188236,4.544533112088559,-1.5707874382877944,0.4079280047102478,4.553005136930582,-1.5701503841825646,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005098557679669713,-0.0011001006805488878,0.2,-0.002200201361097827,1
92.77,2,1,3,0.4074412487826835,4.5424581532078845,-1.5708071848642098,0.4079280047102478,4.553005136930582,-1.5701503841825646,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005108848318268744,-0.0011001006805488878,0.2,-0.002200201361097827,1
92.78,2,1,3,0.40744141234589715,4.5403836287986685,-1.5708093363463682,0.40793270852726465,4.549005091100081,-1.5705867519362426,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005110483950405142,-0.0006744508113458725,0.2,-0.002200201361097827,1
92.79,2,1,3,0.40744089952585005,4.538309086676031,-1.5708269984173422,0.40793270852726465,4.549005091100081,-1.5705867519362426,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005105355749934204,-0.0006744508113458725,0.2,-0.0013489016226917346,1
92.8,2,1,3,0.40744075079123054,4.536234572846898,-1.5708521768003831,0.40875075713825937,4.545887088008922,-1.5704131157467265,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005103868403739109,-0.0016770579709812772,0.2,-0.003354115941962606,1
92.81,2,1,3,0.40744084123111013,4.534160014154681,-1.5708705871110364,0.40875075713825937,4.545887088008922,-1.5704131157467265,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005104772802534963,-0.0016770579709812772,0.2,-0.003354115941962606,1
92.82,2,1,3,0.40744072553796373,4.5320854998542135,-1.5708863763256002,0.40877204623484165,4.5418870087934025,-1.5725854742483751,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005103615871070999,0.0004629613403817068,0.2,0.0009259226807633877,1
92.83,2,1,3,0.4074400758246195,4.530010980579637,-1.5709175327133011,0.40877204623484165,4.5418870087934025,-1.5725854742483751,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005097118737628636,0.0004629613403817068,0.2,0.0009259226807633877,1
92.84,2,1,3,0.4074397682899704,4.52793636702923,-1.5709555238177502,0.4087911355695628,4.53788694145162,-1.5673221572912235,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005094043391137837,-0.0048306095812038485,0.2,-0.009661219162407687,1
92.85,2,1,3,0.40744045096085246,4.525861530317498,-1.570962594914309,0.4087911355695628,4.53788694145162,-1.5673221572912235,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005100870099958299,-0.0048306095812038485,0.2,-0.009661219162407687,1
92.86,2,1,3,0.40744032793856655,4.523787009923239,-1.5709526901638815,0.40881854342136276,4.533886939645701,-1.5721952277724216,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.000509963987709916,3.723971371272228e-06,0.2,7.447942742518636e-06,1
92.87,2,1,3,0.40743804776342163,4.521712157846744,-1.570995045539803,0.40881854342136276,4.533886939645701,-1.5721952277724216,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005076838125649963,3.723971371272228e-06,0.2,7.447942742518636e-06,1
92.88,2,1,3,0.4074368388501517,4.51963705022244,-1.5710993113395593,0.4088387475998421,4.529886897644454,-1.5700644263916321,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005064748992950618,-0.0021587318897913206,0.2,-0.004317463779582632,1
92.89,2,1,3,0.407438092369812,4.517561281840001,-1.5711542126533908,0.4088387475998421,4.529886897644454,-1.5700644263916321,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005077284189553555,-0.0021587318897913206,0.2,-0.004317463779582632,1
92.9,2,1,3,0.40743806702899654,4.515486665252254,-1.5711569743454354,0.40744626943612233,4.524680512301508,-1.5712252412277943,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005077030781399094,0.00039146567717884823,0.2,0.0007829313543576656,1
92.91,2,1,3,0.40743644092542897,4.51341203316938,-1.5711879968280318,0.40744626943612233,4.524680512301508,-1.5712252412277943,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005060769745723337,0.00039146567717884823,0.2,0.0007829313543576656,1
92.92,2,1,3,0.40743552473304034,4.511337332617646,-1.5712362474567316,0.4074355683677159,4.520680410742683,-1.5713460343168748,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005051607821837112,0.0005199286081645216,0.2,0.0010398572163290226,1
92.93,2,1,3,0.40743583875159817,4.509262364770597,-1.571249604752334,0.4074355683677159,4.520680410742683,-1.5713460343168748,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005054748007415344,0.0005199286081645216,0.2,0.0010398572163290226,1
92.94,2,1,3,0.40743523058107756,4.507187839841734,-1.5712416784065943,0.40743021564698845,4.516680344128693,-1.5716520928634454,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005048666302209237,0.0008283407652860397,0.2,0.0016566815305720383,1
92.95,2,1,3,0.40743448782251424,4.505113326733681,-1.5712307871370905,0.40743021564698845,4.516680344128693,-1.5716520928634454,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005041238716576024,0.0008283407652860397,0.2,0.0016566815305720383,1
92.96,2,1,3,0.4074336985406237,4.503038813634372,-1.5712189516845956,0.4074105904627256,4.512680336709484,-1.5717354950488154,0.40693036395085663,6.456906262787579,0.40693036395085663,2.0,0.0005033345897670904,0.00092848677584767,0.2,0.0016566815305720383,1
