time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,heading_error_rad,command_linear_mps,command_angular_rps,scored_line_sample
38.97,0,1,1,1.9e-05,1.997051,0.101477,-0.001133,1.999201,0.096259,0.0,2.0,4.31,2.0,nan,0.00975,0.0,0.160651,0
38.98,0,1,1,2e-05,1.997007,0.103498,0.000572,1.998025,0.100105,0.0,2.0,4.31,2.0,nan,0.00708,0.0,0.140651,0
38.99,0,1,1,2.2e-05,1.996964,0.105435,0.000572,1.998025,0.100105,0.0,2.0,4.31,2.0,nan,0.00708,0.0,0.140651,0
39.0,0,1,1,2.3e-05,1.996924,0.107233,0.000575,1.997993,0.105201,0.0,2.0,4.31,2.0,nan,0.002016,0.0,0.120651,0
39.01,0,1,1,2.5e-05,1.996886,0.108947,0.000575,1.997993,0.105201,0.0,2.0,4.31,2.0,nan,0.002016,0.0,0.120651,0
39.02,0,1,1,2.6e-05,1.996851,0.110523,0.000579,1.99796,0.11134,0.0,2.0,4.31,2.0,nan,-0.00409,0.0,0.100651,0
39.03,0,1,1,2.7e-05,1.996818,0.112014,0.000579,1.99796,0.11134,0.0,2.0,4.31,2.0,nan,-0.00409,0.0,0.100651,0
39.04,0,1,1,2.8e-05,1.996788,0.113368,0.000582,1.997927,0.114192,0.0,2.0,4.31,2.0,nan,-0.006908,0.0,0.100651,0
39.05,0,1,1,2.9e-05,1.99676,0.114636,0.000582,1.997927,0.114192,0.0,2.0,4.31,2.0,nan,-0.006908,0.0,0.080651,0
39.06,0,1,1,3e-05,1.996735,0.115768,0.000805,1.996968,0.11336,0.0,2.0,4.31,2.0,nan,-0.005118,0.0,0.060651,0
39.07,0,1,1,3.1e-05,1.996711,0.116813,0.000805,1.996968,0.11336,0.0,2.0,4.31,2.0,nan,-0.005118,0.0,0.060651,0
39.08,0,1,1,3.2e-05,1.996691,0.117722,0.000811,1.996914,0.120824,0.0,2.0,4.31,2.0,nan,-0.012527,0.0,0.040651,0
39.09,0,1,1,3.3e-05,1.996673,0.118545,0.000811,1.996914,0.120824,0.0,2.0,4.31,2.0,nan,-0.012527,0.0,0.040651,0
39.1,0,1,1,3.4e-05,1.996658,0.119232,0.000818,1.996858,0.117926,0.0,2.0,4.31,2.0,nan,-0.009574,0.0,0.020651,0
39.11,0,1,1,3.4e-05,1.996644,0.119832,0.000818,1.996858,0.117926,0.0,2.0,4.31,2.0,nan,-0.009574,0.0,0.020651,0
39.12,0,1,2,3.5e-05,1.996634,0.120296,0.000824,1.996803,0.11915,0.0,2.0,4.31,2.0,nan,-0.010743,0.0,0.000651,0
39.13,0,1,2,3.5e-05,1.996625,0.120674,0.000824,1.996803,0.11915,0.0,2.0,4.31,2.0,nan,-0.010743,0.0,0.000651,0
39.14,0,1,2,3.5e-05,1.99662,0.120915,1.4e-05,1.996482,0.117818,0.0,2.0,4.31,2.0,nan,-0.00909,0.0,0.0,0
39.15,0,1,2,3.5e-05,1.996616,0.12107,1.4e-05,1.996482,0.117818,0.0,2.0,4.31,2.0,nan,-0.00909,0.0,0.0,0
