time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,scored_line_sample
238.5,11,2,4,0.03314556476032071,4.002899755126545,1.3612530219573946,0.033049395304789675,3.9984779482185373,1.3620312606506038,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010648496270360328,1
238.51,11,2,4,0.033271080882004034,4.003428429185655,1.361264886957977,0.033049395304789675,3.9984779482185373,1.3620312606506038,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010657026765536748,1
238.52,11,2,4,0.03338992555550857,4.003927967774415,1.3612894336643633,0.0334127381168225,3.9996276841159415,1.361688629012639,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010662696483919878,1
238.53,11,2,4,0.03350480682797352,4.0044095343944806,1.3612833351779343,0.0334127381168225,3.9996276841159415,1.361688629012639,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010665124916324957,1
238.54,11,2,4,0.0336125814550543,4.0048625701564,1.361269398944252,0.03375570500904499,4.00067059696922,1.3600489182076538,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.001067033112285499,1
238.55,11,2,4,0.03371606621004375,4.005297427146217,1.3612616799911246,0.03375570500904499,4.00067059696922,1.3600489182076538,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010674990405611052,1
238.56,11,2,4,0.03381269119700425,4.005703531026773,1.3612551325735431,0.03333858515895533,4.002422291155682,1.3636978273365923,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010679509570821963,1
238.57,11,2,4,0.03390484752981604,4.006091299120103,1.3612753769753052,0.03333858515895533,4.002422291155682,1.3636978273365923,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010684855533967066,1
238.58,11,2,4,0.033990250061141314,4.006450231333867,1.3613024443370252,0.03362337044109384,4.0032974948981845,1.3607763010415326,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.001068883829861256,1
238.59,11,2,4,0.03407181267787518,4.006791104798967,1.3612723271514324,0.03362337044109384,4.0032974948981845,1.3607763010415326,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.001068817697593097,1
238.6,11,2,4,0.03414621294094777,4.007103822722869,1.3612093229437288,0.03388703519537934,4.004057668804734,1.362629530098329,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010691707939292773,1
238.61,11,2,4,0.03421607819496386,4.007398091374537,1.361188791067264,0.03388703519537934,4.004057668804734,1.362629530098329,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010696447183614444,1
238.62,11,2,4,0.03427928658479473,4.007663597435537,1.3611838105627705,0.034127923261834774,4.004712172453058,1.359145873478573,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.001069905083963023,1
238.63,11,2,4,0.03433832614487886,4.007910835320271,1.3611495184800917,0.034127923261834774,4.004712172453058,1.359145873478573,-0.07710334910448768,3.5371740762067025,0.03249999999999969,3.9956199594913984,0.0010699722439792292,1
