phase,time_s,forward_m,up_m,truth_yaw_rad,filtered_yaw_rad,state,segment
compensated,124.08,-0.36132422612411164,1.6282269465703239,3.030722497523746,3.033307597392911,4,3
compensated,124.09,-0.3623550321656648,1.6282247412899848,3.03076979616815,3.033307597392911,4,3
compensated,124.1,-0.36335460044067835,1.628223525573596,3.0308445988415382,3.0311009006037786,4,3
compensated,124.11,-0.36433503777176957,1.6282240209203744,3.0308600940669312,3.0311009006037786,4,3
compensated,124.12,-0.3652848166051338,1.6282240347907941,3.0308149063549243,3.0302535415227574,4,3
compensated,124.13,-0.3662154584217432,1.6282227062110435,3.0308010656383657,3.0302535415227574,4,3
compensated,124.14,-0.367115018132241,1.6282221508861607,3.0307986381329495,3.0325235903334864,4,3
compensated,124.15,-0.36799537361260204,1.6282211603371577,3.0308080271606754,3.0325235903334864,4,3
compensated,124.16,-0.3688447608248179,1.6282205127676652,3.030821676761448,3.030398871682972,4,3
compensated,124.17,-0.3696749326192682,1.6282197300765273,3.030832089810833,3.030398871682972,4,3
compensated,124.18,-0.37047738996664625,1.6282191967360362,3.030844180189869,3.031904507439327,4,3
compensated,124.19,-0.3712787241651293,1.628218330031559,3.0308862090265807,3.031904507439327,4,3
compensated,124.2,-0.37207997940413917,1.6282177949752026,3.0309364316324827,3.0319940928145757,4,3
compensated,124.21,-0.37288127075832955,1.628217816246039,3.030959597674715,3.0319940928145757,4,3
compensated,124.22,-0.37368263284789804,1.6282174881104505,3.030975864614152,3.027944881411405,4,3
compensated,124.23,-0.3744840033065593,1.6282172560428623,3.0309866761837228,3.027944881411405,4,3
compensated,124.24,-0.3752853859602078,1.628216950389863,3.0309966460234827,3.0302414064007497,4,3
compensated,124.25,-0.37608671840288876,1.6282153097886949,3.0310596973630743,3.0302414064007497,4,3
compensated,124.26,-0.3768878408388202,1.6282142841699523,3.031153987432654,3.0330134858944007,4,3
compensated,124.27,-0.3776784375709551,1.6282137437202606,3.0312120860507106,3.0330134858944007,4,3
compensated,124.28,-0.3784653299058488,1.6282129942494623,3.0312580399678875,3.032500909555951,4,3
compensated,124.29,-0.3792370421069846,1.628212657657764,3.031262608580822,3.032500909555951,4,3
compensated,124.3,-0.37999876834453605,1.6282123024603832,3.031251648508913,3.032972491056274,4,3
compensated,124.31,-0.3807449990465087,1.6282113473524373,3.0312465781949225,3.032972491056274,4,3
compensated,124.32,-0.38148049783192073,1.6282109424152695,3.031243430087255,3.0280062295279633,4,3
compensated,124.33,-0.38221499884841303,1.6282107357328872,3.031230684657783,3.0280062295279633,4,3
compensated,124.34,-0.38294936927773204,1.6282104591860571,3.031216507687162,3.0304238375032835,4,3
compensated,124.35,-0.3836682168076089,1.6282082292828228,3.0312595261883786,3.0304238375032835,4,3
compensated,124.36,-0.38437621925448806,1.6282071638725752,3.0313407755887556,3.033192953739415,4,3
compensated,124.37,-0.3850687370456466,1.6282063992400844,3.0313844361032882,3.033192953739415,4,3
compensated,124.38,-0.38575070885584406,1.6282056752580933,3.0314156752421333,3.0316162644672264,4,3
compensated,124.39,-0.38641694139667804,1.6282053200966469,3.031405172259175,3.0316162644672264,4,3
compensated,124.4,-0.3870720653056695,1.6282050475549477,3.0313793928023594,3.0319650836808894,4,3
compensated,124.41,-0.3877112738145564,1.6282038415020161,3.031376357757056,3.0319650836808894,4,3
compensated,124.42,-0.38833904907620775,1.6282033720037856,3.0313790403354264,3.028681898207182,4,3
compensated,124.43,-0.3889606384610713,1.6282020847433833,3.0314177463852006,3.028681898207182,4,3
compensated,124.44,-0.3895808689142978,1.6282012604179295,3.0314676279641914,3.030970840254687,4,3
compensated,124.45,-0.3901852201108781,1.6281990911677624,3.0315624421251472,3.030970840254687,4,3
compensated,124.46,-0.3907784268179406,1.6281977654499566,3.0316758298428157,3.032651095401511,4,3
compensated,124.47,-0.39135586805886147,1.6281965592178143,3.031753520485737,3.032651095401511,4,3
compensated,124.48,-0.39192238432169113,1.6281954560388168,3.0318205851982696,3.0324614160413343,4,3
compensated,124.49,-0.3924728675367313,1.6281943408064405,3.0318594839349937,3.0324614160413343,4,3
compensated,124.5,-0.3930118505799549,1.6281934499940953,3.0318921546223274,3.0325344571394552,4,3
compensated,124.51,-0.3935382761921533,1.6281922091135872,3.0319278816407165,3.0325344571394552,4,3
compensated,124.52,-0.39405938571625254,1.6281912868854385,3.0319645232165713,3.0320213107269733,4,3
compensated,124.53,-0.39456430157923383,1.6281899477082602,3.0319977255224053,3.0320213107269733,4,3
compensated,124.54,-0.39505754111058256,1.6281890362754008,3.0320315094073007,3.031674274045093,4,3
compensated,124.55,-0.39553449417486497,1.628187576365272,3.032071886803237,3.031674274045093,4,3
compensated,124.56,-0.3959996826135911,1.6281866087385346,3.032114222332626,3.0292278466150524,4,3
compensated,124.57,-0.3964484343047854,1.6281851352041912,3.0321602153941485,3.0292278466150524,4,3
compensated,124.58,-0.3968849097037619,1.6281841334931462,3.032207793394297,3.0320592318857074,4,3
compensated,124.59,-0.397303872621389,1.628182056164811,3.032294217933513,3.0320592318857074,4,3
compensated,124.6,-0.39769211999075027,1.628180493587454,3.032395052209467,3.031362142151191,4,3
compensated,124.61,-0.39806093331652226,1.628179237193558,3.032453562841819,3.031362142151191,4,3
compensated,124.62,-0.39839925231526907,1.6281780590179045,3.032498568192906,3.031619610290118,4,3
compensated,124.63,-0.3987179712948199,1.6281765358430131,3.0325534335925743,3.031619610290118,4,3
compensated,124.64,-0.3990061224585868,1.628175356769626,3.0326119748512643,3.0331153457786977,4,3
compensated,124.65,-0.3992746788370948,1.6281740201563928,3.032663520308695,3.0331153457786977,4,3
compensated,124.66,-0.39951704859044324,1.6281730409629473,3.0327162929863434,3.034644387017874,4,3
compensated,124.67,-0.3997411376825388,1.6281716351874682,3.032782403782401,3.034644387017874,4,3
compensated,124.68,-0.3999347268064629,1.628170594661128,3.0328525799927175,3.0337562497073582,4,3
compensated,124.69,-0.400108706406333,1.6281695478075695,3.0328964700090935,3.0337562497073582,4,3
compensated,124.7,-0.4002522801017655,1.6281687738367254,3.0329370353047334,3.032361320613889,4,3
compensated,124.71,-0.4003760778566757,1.628167717359374,3.0329911673703553,3.032361320613889,4,3
compensated,124.72,-0.40046945101429143,1.6281670461174893,3.033049305780264,3.031529223839197,4,3
compensated,124.73,-0.4005431067530091,1.628165809204357,3.03312852579419,3.031529223839197,4,3
compensated,124.74,-0.4005866846219963,1.6281644145129892,3.0332110887747463,3.0325566928942624,4,3
compensated,124.75,-0.40064622385128146,1.6281634632489612,3.0333073238630326,3.0325566928942624,4,3
compensated,124.76,-0.4007277615719137,1.6281624096186733,3.0334059470666905,3.0346218121431416,4,3
compensated,124.77,-0.40082705281651887,1.628162181209313,3.0334832206688302,3.0346218121431416,4,3
compensated,124.78,-0.4009485395216972,1.6281615552703013,3.0335551805859025,3.031947127826612,4,3
compensated,124.79,-0.40108798690717296,1.6281614678082923,3.033590284796128,3.031947127826612,4,3
compensated,124.8,-0.4012497300096276,1.6281608959523357,3.0336140039187574,3.0321669331138352,4,3
compensated,124.81,-0.4014119634664405,1.628159972559072,3.0336752386075294,3.0321669331138352,4,3
compensated,124.82,-0.40157420034637326,1.628159082950315,3.033747283148794,3.032348063152752,4,3
compensated,124.83,-0.40171866510258514,1.628157851910118,3.033810142907512,3.032348063152752,4,3
compensated,124.84,-0.4018327115872262,1.6281569844580472,3.033874334876397,3.03283567307611,4,3
compensated,124.85,-0.4019270184356485,1.6281559796082892,3.0339329909725508,3.03283567307611,4,3
compensated,124.86,-0.40199094849634676,1.6281552532976393,3.033993389765884,3.0334191196740985,4,3
compensated,124.87,-0.4020351971284575,1.6281543287236016,3.034042588025602,3.0334191196740985,4,3
compensated,124.88,-0.4020493505822238,1.628153300521632,3.034090405745003,3.0355633369463995,4,3
compensated,124.89,-0.4020519045915184,1.6281524229268478,3.0341219997395013,3.0355633369463995,4,3
compensated,124.9,-0.4020519343105142,1.6281515488598322,3.034155449697247,3.0383239551543264,4,3
compensated,124.91,-0.40205194942877964,1.6281510997489117,3.0341579032773853,3.0383239551543264,4,3
compensated,124.92,-0.4020519554714288,1.628150895643754,3.034148409327082,3.0347010887099373,4,3
compensated,124.93,-0.4020519907153114,1.6281498462907973,3.034094495385658,3.0347010887099373,4,3
compensated,124.94,-0.4020520350640052,1.6281485653642473,3.034034781039305,3.035113664301388,4,3
compensated,124.95,-0.40205204442130427,1.6281483046999932,3.0340244922810387,3.035113664301388,4,3
compensated,124.96,-0.40205206601150834,1.6281476363731386,3.034040927311308,3.036501312701475,4,3
compensated,124.97,-0.40205206601150834,1.6281476363731386,3.034040927311308,3.036501312701475,4,3
compensated,124.98,-0.40205206897184953,1.6281475032350163,3.0340448526993433,3.035189012534852,4,3
compensated,124.99,-0.4020520842695883,1.6281470298577612,3.0340201596891956,3.035189012534852,4,3
compensated,125.0,-0.4020521087826321,1.6281463024800065,3.0339862644562086,3.0337564085956963,4,3
compensated,125.01,-0.40205213629332626,1.6281455380811274,3.0340006685400183,3.0337564085956963,4,3
compensated,125.02,-0.40205217035254237,1.628144543947988,3.034038716325725,3.032588171348457,4,3
compensated,125.03,-0.40205222132762686,1.6281430868957691,3.0340966192810566,3.032588171348457,4,3
compensated,125.04,-0.4020522770262164,1.6281414881110705,3.0341578169089436,3.034103994970775,4,3
compensated,125.05,-0.4020523465656599,1.628139512877571,3.034235047755122,3.034103994970775,4,3
compensated,125.06,-0.40205241936405134,1.6281374341913666,3.0343146174683557,3.030681219658174,4,3
compensated,125.07,-0.40205247051698656,1.6281359463547078,3.034368788005728,3.030681219658174,4,3
compensated,125.08,-0.40205251475328274,1.628134664416281,3.0344178520590175,3.0365141006192644,4,3
compensated,125.09,-0.4020526015107857,1.6281322455774705,3.0345167542494877,3.0365141006192644,4,3
compensated,125.1,-0.4020527143622168,1.62812903858655,3.0346395159683137,3.0332445240472445,4,3
compensated,125.11,-0.40205277758487157,1.6281271743207968,3.0347010618399812,3.0332445240472445,4,3
compensated,125.12,-0.4020527879239726,1.6281268441652226,3.034713677897517,3.034843824535576,4,3
compensated,125.13,-0.40205283663923597,1.6281254419437297,3.0347726877825068,3.034843824535576,4,3
