time_s,segment,segment_type,state,truth_x_m,truth_y_m,truth_yaw_rad,filtered_x_m,filtered_y_m,filtered_yaw_rad,reference_start_x_m,reference_start_y_m,reference_end_x_m,reference_end_y_m,cross_track_error_m,scored_line_sample
72.22,2,1,3,0.03508961174739578,3.466242188975377,-1.5716763283974364,0.035782481818544695,3.473911346304354,-1.5710125849473022,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003301372793237875,1
72.23,2,1,3,0.03508946305558047,3.4641675220968327,-1.5716195029302078,0.035782481818544695,3.473911346304354,-1.5710125849473022,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00033028597113909236,1
72.24,2,1,3,0.035088323041966296,3.4620924602703966,-1.5715297776040487,0.03581041865159082,3.4699020823197517,-1.5724176964160932,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003314259847532683,1
72.25,2,1,3,0.035085154364369764,3.4600168923715575,-1.571490101087702,0.03581041865159082,3.4699020823197517,-1.5724176964160932,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00033459466234980056,1
72.26,2,1,3,0.03508324711733812,3.4579423113128893,-1.5715007424921819,0.0358415505453377,3.4658960212956114,-1.5708761707459162,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00033650190938144114,1
72.27,2,1,3,0.03508255345907085,3.4558676911859347,-1.571492600903347,0.0358415505453377,3.4658960212956114,-1.5708761707459162,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003371955676487112,1
72.28,2,1,3,0.03508137664107536,3.4537931760659264,-1.5714745203979423,0.03587533397935397,3.4618915163172854,-1.568461241478023,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003383723856442075,1
72.29,2,1,3,0.03507938020497292,3.4517185215109474,-1.5714801581723137,0.03587533397935397,3.4618915163172854,-1.568461241478023,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00034036882174664357,1
72.3,2,1,3,0.03507797904569321,3.4496440056532887,-1.571497617918202,0.03668854259822209,3.459723661485836,-1.5721245423616197,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003417699810263561,1
72.31,2,1,3,0.03507556261750744,3.447569388089234,-1.571548743126329,0.03668854259822209,3.459723661485836,-1.5721245423616197,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003441864092121258,1
72.32,2,1,3,0.03507393988854224,3.4454944488664254,-1.5716199401561857,0.03673647986474663,3.455714878750182,-1.571428881888597,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003458091381773262,1
72.33,2,1,3,0.03507363733325519,3.443419229707355,-1.5716535746255853,0.03673647986474663,3.455714878750182,-1.571428881888597,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00034611169346437237,1
72.34,2,1,3,0.03507229125008737,3.441344690785037,-1.5716635848376135,0.03679180603106917,3.4517091904370494,-1.5718921231062424,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003474577766321915,1
72.35,2,1,3,0.03507033206341825,3.4392701749865586,-1.5716847267229348,0.03679180603106917,3.4517091904370494,-1.5718921231062424,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00034941696330131194,1
72.36,2,1,3,0.035068620683686325,3.4371956600286167,-1.571710923834227,0.036850797562861255,3.447704973023829,-1.5674634845729871,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00035112834303323986,1
72.37,2,1,3,0.035067108997908214,3.435121094069199,-1.5717306273649692,0.036850797562861255,3.447704973023829,-1.5674634845729871,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003526400288113504,1
72.38,2,1,3,0.03506539676586362,3.433046579937138,-1.571747924453984,0.03691180286278423,3.4437014897499068,-1.5732435537200498,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00035435226085594324,1
72.39,2,1,3,0.035061831107674024,3.4309719144175226,-1.5718137538850618,0.03691180286278423,3.4437014897499068,-1.5732435537200498,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003579179190455403,1
72.4,2,1,3,0.03505934040881198,3.428896634351837,-1.5719274897600644,0.03577049146605787,3.4393419710397692,-1.5695226999128442,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00036040861790758577,1
72.41,2,1,3,0.0350592391797826,3.4268206840581015,-1.5719882652875037,0.03577049146605787,3.4393419710397692,-1.5695226999128442,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003605098469369669,1
72.42,2,1,3,0.035057953917544626,3.424746004643375,-1.5719815006288,0.03580348446703224,3.435333820972527,-1.5708328841551593,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.000361795109174938,1
72.43,2,1,3,0.035054649405585225,3.4226713090917835,-1.572006320302606,0.03580348446703224,3.435333820972527,-1.5708328841551593,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003650996211343391,1
72.44,2,1,3,0.035052162641767026,3.4205966210384946,-1.5720532122240336,0.03583430536372017,3.431328444858429,-1.5736321807111446,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003675863849525382,1
72.45,2,1,3,0.03505040117367786,3.4185217917049746,-1.5720808990826176,0.03583430536372017,3.431328444858429,-1.5736321807111446,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00036934785304170575,1
72.46,2,1,3,0.035048091944237525,3.416447271520743,-1.5721007013840782,0.035852758555358084,3.4273243845534154,-1.572241259636888,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003716570824820395,1
72.47,2,1,3,0.035046933756099685,3.414372488516638,-1.5720825075252636,0.035852758555358084,3.4273243845534154,-1.572241259636888,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00037281527061987924,1
72.48,2,1,3,0.03504483225305677,3.412297886701578,-1.572039554339579,0.03430613993150751,3.4212717849239773,-1.567526893183106,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00037491677366279647,1
72.49,2,1,3,0.03504189125376467,3.41022311408488,-1.572017767188899,0.03430613993150751,3.4212717849239773,-1.567526893183106,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003778577729548968,1
72.5,2,1,3,0.035039534823321006,3.4081485969143666,-1.5720054161613104,0.03431781037142901,3.4172639930446786,-1.5718755718823363,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00038021420339855866,1
72.51,2,1,3,0.03503588808902336,3.4060738458717785,-1.5720343641872447,0.03431781037142901,3.4172639930446786,-1.5718755718823363,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00038386093769620516,1
72.52,2,1,3,0.03503326127018602,3.4039990604211705,-1.5720925870803184,0.034316759815713346,3.413258827538368,-1.5745617149642055,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.000386487756533542,1
72.53,2,1,3,0.03503260312129486,3.4019238058184715,-1.5721021630400989,0.034316759815713346,3.413258827538368,-1.5745617149642055,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003871459054247059,1
72.54,2,1,3,0.03503075688385193,3.399849238171706,-1.5720654555078564,0.03431111502866296,3.4092550472265666,-1.574061207665676,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003889921428676321,1
72.55,2,1,3,0.035029640437517884,3.397774596326319,-1.5719915440155492,0.03431111502866296,3.4092550472265666,-1.574061207665676,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003901085892016806,1
72.56,2,1,3,0.035027692365338314,3.39569943561648,-1.5718949850071842,0.0344406232916758,3.405771750026409,-1.5729111170032675,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003920566613812501,1
72.57,2,1,3,0.03502547511890253,3.3936241708020014,-1.571805814059609,0.0344406232916758,3.405771750026409,-1.5729111170032675,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00039427390781703736,1
72.58,2,1,3,0.03502361597326642,3.3915490328968905,-1.5717191253782787,0.03444154511870438,3.4017644003572878,-1.5718751512523403,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003961330534531446,1
72.59,2,1,3,0.03502134216162567,3.389473820410441,-1.5716522192124003,0.03444154511870438,3.4017644003572878,-1.5718751512523403,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0003984068650938963,1
72.6,2,1,3,0.03501970707114044,3.387398956714183,-1.5715929955082286,0.034434461060821826,3.3977595733097523,-1.5725547309054158,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004000419555791265,1
72.61,2,1,3,0.035017764261730644,3.3853240544155954,-1.5715502295570156,0.034434461060821826,3.3977595733097523,-1.5725547309054158,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004019847649889205,1
72.62,2,1,3,0.03501632540673438,3.3832494329339298,-1.5715133947493574,0.03444285225371329,3.393755995739973,-1.572440920603203,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004034236199851812,1
72.63,2,1,3,0.03501533721985739,3.381174818572226,-1.57146565206152,0.03444285225371329,3.393755995739973,-1.572440920603203,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00040441180686217465,1
72.64,2,1,3,0.035014155654665036,3.379100066230149,-1.57141401275742,0.034893605053216224,3.3871115558348683,-1.57124124356261,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00040559337205452883,1
72.65,2,1,3,0.03501297890245336,3.3770252946443162,-1.5713641727576122,0.034893605053216224,3.3871115558348683,-1.57124124356261,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00040677012426620224,1
72.66,2,1,3,0.035011941335657326,3.3749505527441284,-1.571314918525358,0.034901175072868613,3.3831044946755897,-1.5732245303243566,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004078076910622383,1
72.67,2,1,3,0.03501023033481143,3.372875693542955,-1.5712905074639056,0.034901175072868613,3.3831044946755897,-1.5732245303243566,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00040951869190813256,1
72.68,2,1,3,0.035009201863650086,3.370801173002975,-1.5712774909294858,0.03491359671277575,3.379099860490557,-1.5717548167514166,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041054716306947875,1
72.69,2,1,3,0.035009220789946394,3.3687265777777657,-1.5712367054105598,0.03491359671277575,3.379099860490557,-1.5717548167514166,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041052823677317074,1
72.7,2,1,3,0.035008577490068804,3.3666518051688636,-1.5711806237817132,0.03493582443819948,3.375096462190179,-1.571876627245014,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041117153665076045,1
72.71,2,1,3,0.03500720418443892,3.3645768943498435,-1.5711468390315155,0.03493582443819948,3.375096462190179,-1.571876627245014,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041254484228064187,1
72.72,2,1,3,0.03500647443359495,3.362502368739911,-1.5711223170249875,0.034370262411594216,3.370498869915645,-1.5721847672908948,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041327459312461706,1
72.73,2,1,3,0.035005924274892575,3.3604278555064195,-1.571096464729183,0.034370262411594216,3.370498869915645,-1.5721847672908948,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041382475182698964,1
72.74,2,1,3,0.035005386535092775,3.358353342199885,-1.5710699240562225,0.03437609493754603,3.3664921642885433,-1.5709053779633875,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004143624916267894,1
72.75,2,1,3,0.03500530449171024,3.3562787928139555,-1.5710297438666712,0.03437609493754603,3.3664921642885433,-1.5709053779633875,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004144445350093215,1
72.76,2,1,3,0.035004943168490676,3.354204100634269,-1.570984131210054,0.03437948218983679,3.362487780775932,-1.5690885230043279,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.000414805858228888,1
72.77,2,1,3,0.03500401361060157,3.35212930642004,-1.5709582464226763,0.03437948218983679,3.362487780775932,-1.5690885230043279,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004157354161179946,1
72.78,2,1,3,0.03500363672611151,3.3500547874748476,-1.5709405241667493,0.03438122203359315,3.358484513559116,-1.5738006943009064,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041611230060805554,1
72.79,2,1,3,0.0350025111642025,3.3479801131818423,-1.5709501648272681,0.03438122203359315,3.358484513559116,-1.5738006943009064,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041723786251706557,1
72.8,2,1,3,0.03500206047305188,3.3459055972635894,-1.5709741915065778,0.03218199399440899,3.353278873657972,-1.569912094085766,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041768855366768753,1
72.81,2,1,3,0.035003603995406696,3.3438306644518114,-1.5709474657362503,0.03218199399440899,3.353278873657972,-1.569912094085766,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041614503131286873,1
72.82,2,1,3,0.035003996632295475,3.341755764441191,-1.5708682783126682,0.032136498432940815,3.349272655245671,-1.5689248281270483,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041575239442408907,1
72.83,2,1,3,0.035003155809087305,3.3396805756295804,-1.5708123788827109,0.032136498432940815,3.349272655245671,-1.5689248281270483,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041659321763225926,1
72.84,2,1,3,0.03500304237544949,3.3376058374409765,-1.5707673041798687,0.03209613414306569,3.345268448309164,-1.5719360441921502,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004167066512700754,1
72.85,2,1,3,0.03500267216514796,3.3355310789431085,-1.5707372131515396,0.03209613414306569,3.345268448309164,-1.5719360441921502,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004170768615716011,1
72.86,2,1,3,0.035002739741444744,3.333456559153233,-1.5707123407093133,0.03204896143194377,3.3412654076098343,-1.5706255402828482,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041700928527482056,1
72.87,2,1,3,0.03500423695478361,3.3313819163630933,-1.5706487594941196,0.03204896143194377,3.3412654076098343,-1.5706255402828482,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.000415512071935957,1
72.88,2,1,3,0.035004824919075084,3.3293068049053676,-1.5705580112979711,0.03200844914040685,3.337262796450132,-1.5691163218909248,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004149241076444806,1
72.89,2,1,3,0.03500473521275271,3.327231524301404,-1.5704858447912742,0.03200844914040685,3.337262796450132,-1.5691163218909248,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041501381396685105,1
72.9,2,1,3,0.03500526684001626,3.3251565801632,-1.5704210996854915,0.0355322348920017,3.336807111750218,-1.5682999074208885,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041448218670330633,1
72.91,2,1,3,0.03500530720096218,3.3230815662750897,-1.570378752409191,0.0355322348920017,3.336807111750218,-1.5682999074208885,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004144418257573876,1
72.92,2,1,3,0.035006009337542165,3.3210069507022073,-1.5703453662887503,0.03557908856713743,3.3328012631406487,-1.5666538009523079,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041373968917739895,1
72.93,2,1,3,0.03500505663431763,3.3189319511169346,-1.5703618217067306,0.03557908856713743,3.3328012631406487,-1.5666538009523079,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004146923924019316,1
72.94,2,1,3,0.03500528687149429,3.316857190247006,-1.5704248046150082,0.03562096604873284,3.3287974278876313,-1.5698396260280119,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004144621552252744,1
72.95,2,1,3,0.03500513793536353,3.314782348641132,-1.5705142024973164,0.03562096604873284,3.3287974278876313,-1.5698396260280119,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041461109135603613,1
72.96,2,1,3,0.03500550742695552,3.312707087184277,-1.5706152080844125,0.03566051465331397,3.324794597681206,-1.5717007386566049,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004142415997640466,1
72.97,2,1,3,0.035007172625357574,3.3106315385182907,-1.570675726235808,0.03566051465331397,3.324794597681206,-1.5717007386566049,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004125764013619901,1
72.98,2,1,3,0.03500765120726701,3.308556866894108,-1.5707096141855927,0.036083696819850866,3.3195993328327775,-1.57255769826836,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041209781945255464,1
72.99,2,1,3,0.03500867318920209,3.3064820997221727,-1.5707155448700316,0.036083696819850866,3.3195993328327775,-1.57255769826836,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041107583751747584,1
73.0,2,1,3,0.03500897534324254,3.304407581780821,-1.5707075373847847,0.036130918595876416,3.3155936694606623,-1.569928401104378,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004107736834770212,1
73.01,2,1,3,0.03500936307521618,3.3023330692717687,-1.5706920488275715,0.036130918595876416,3.3155936694606623,-1.569928401104378,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004103859515033822,1
73.02,2,1,3,0.03500959691783945,3.3002585563386115,-1.5706735747424017,0.03617079375504039,3.3115898785047824,-1.5693908450785987,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004101521088801172,1
73.03,2,1,3,0.03500860856466548,3.298183795952167,-1.5706917273952028,0.03617079375504039,3.3115898785047824,-1.5693908450785987,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041114046205408683,1
73.04,2,1,3,0.035008534686646886,3.2961091840490933,-1.57073356870678,0.03622712303307338,3.3075872274456657,-1.572979355373149,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004112143400726783,1
73.05,2,1,3,0.03500834361731853,3.294034516337417,-1.5707854166495963,0.03622712303307338,3.3075872274456657,-1.572979355373149,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004114054094010375,1
73.06,2,1,3,0.03500830954227707,3.2919597137633665,-1.5708404948827497,0.037724607025432816,3.3027178574678904,-1.5686387073817287,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004114394844424927,1
73.07,2,1,3,0.035009730859885346,3.2898845892786146,-1.570851568522178,0.037724607025432816,3.3027178574678904,-1.5686387073817287,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041001816683421816,1
73.08,2,1,3,0.035010025336494,3.287810054598202,-1.5708285621308136,0.03780956457076287,3.298712454614913,-1.572467564699038,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004097236902255649,1
73.09,2,1,3,0.03500790149999533,3.2857350823183964,-1.5708588138129436,0.03780956457076287,3.298712454614913,-1.572467564699038,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004118475267242336,1
73.1,2,1,3,0.03500673846368829,3.2836600412960006,-1.5709612719117363,0.037891333863553346,3.2947088948890917,-1.5697012824813377,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004130105630312727,1
73.11,2,1,3,0.03500792059249713,3.2815843957078026,-1.5710212622317397,0.037891333863553346,3.2947088948890917,-1.5697012824813377,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041182843422243187,1
73.12,2,1,3,0.03500785346128743,3.2795097717060235,-1.571046993506878,0.03798283126039746,3.2907064475982963,-1.5719450750578148,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041189556543213407,1
73.13,2,1,3,0.035006144867669065,3.277435139760422,-1.5711086599987256,0.03798283126039746,3.2907064475982963,-1.5719450750578148,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004136041590504999,1
73.14,2,1,3,0.03500528370588141,3.275360064794265,-1.571194887508569,0.03512767716736789,3.2849053669717527,-1.5722756689457078,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004144653208381574,1
73.15,2,1,3,0.03500547320159697,3.273284758005073,-1.571251046688529,0.03512767716736789,3.2849053669717527,-1.5722756689457078,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004142758251225939,1
73.16,2,1,3,0.03500475929468405,3.271210042007738,-1.5712919886306163,0.03513997535852987,3.2809002073647116,-1.5715807792694878,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004149897320355131,1
73.17,2,1,3,0.035005245811913,3.269135071953062,-1.5712910570490815,0.03513997535852987,3.2809002073647116,-1.5715807792694878,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.000414503214806565,1
73.18,2,1,3,0.03500467710961286,3.267060540262515,-1.5712601819904717,0.03515428578499371,3.2768968324256664,-1.571419407501669,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041507191710670605,1
73.19,2,1,3,0.035003505966977766,3.26498592306655,-1.57123985617286,0.03515428578499371,3.2768968324256664,-1.571419407501669,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041624305974179843,1
73.2,2,1,3,0.03500264695180677,3.2629114089537317,-1.571223645542298,0.03517429562154052,3.272894340607733,-1.571729832388009,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004171020749127938,1
73.21,2,1,3,0.03500177414854799,3.2608368961673557,-1.5712103906031392,0.03517429562154052,3.272894340607733,-1.571729832388009,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041797487817157164,1
73.22,2,1,3,0.03500099876947749,3.258762383519408,-1.5711983326501657,0.03395980547068968,3.266726997080843,-1.5710078174460345,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041875025724207737,1
73.23,2,1,3,0.03500039998819249,3.2566878712288587,-1.5711816413960065,0.03395980547068968,3.266726997080843,-1.5710078174460345,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.00041934903852707683,1
73.24,2,1,3,0.03499971566993598,3.2546133586567985,-1.5711629506927418,0.0339490308722314,3.262722125327928,-1.5697648366764532,0.035419749026719564,3.8825791266402976,0.035419749026719564,1.395,-0.0004200333567835821,1
